"COUNTY","CFIPS","YEAR","AGE","GENDER","Labor Force","Universe","Participation Rate",
"Bent County","11","2012","25 to 34","","424.38","517.59","81.99",
"Bent County","11","2012","35 to 44","","437.55","486.11","90.01",
"Bent County","11","2012","45 to 54","","650.1","795.29","81.74",
"Bent County","11","2012","55 to 64","","549.22","808.54","67.93",
"Bent County","11","2012","65 and over","","148.64","831.96","17.87",
"Bent County","11","2013","16 to 19","","97.81","223.93","43.68",
"Bent County","11","2013","20 to 24","","137.24","180.63","75.98",
"Bent County","11","2013","25 to 34","","444.75","543.56","81.82",
"Bent County","11","2013","35 to 44","","436.91","486.78","89.76",
"Bent County","11","2013","45 to 54","","609.85","746.93","81.65",
"Bent County","11","2013","55 to 64","","565.32","827.19","68.34",
"Bent County","11","2013","65 and over","","158.05","854.58","18.49",
"Bent County","11","2014","16 to 19","","94.67","222.59","42.53",
"Bent County","11","2014","20 to 24","","145.09","192.56","75.35",
"Bent County","11","2014","25 to 34","","455.74","558.45","81.61",
"Bent County","11","2014","35 to 44","","425.82","477.76","89.13",
"Bent County","11","2014","45 to 54","","591.47","724.45","81.64",
"Bent County","11","2014","55 to 64","","563.93","821.21","68.67",
"Bent County","11","2014","65 and over","","168.38","883.54","19.06",
"Bent County","11","2015","16 to 19","","92.01","223.19","41.22",
"Bent County","11","2015","20 to 24","","165.44","219.74","75.29",
"Bent County","11","2015","25 to 34","","444.13","545.38","81.43",
"Bent County","11","2015","35 to 44","","431.82","485.01","89.03",
"Bent County","11","2015","45 to 54","","582.36","713.61","81.61",
"Bent County","11","2015","55 to 64","","562.58","814.87","69.04",
"Bent County","11","2015","65 and over","","179.15","909.68","19.69",
"Bent County","11","2016","16 to 19","","89.65","224.14","40.00",
"Bent County","11","2016","20 to 24","","183.67","245.27","74.88",
"Bent County","11","2016","25 to 34","","426.65","524.9","81.28",
"Bent County","11","2016","35 to 44","","438.47","492.3","89.07",
"Bent County","11","2016","45 to 54","","568.86","696.54","81.67",
"Bent County","11","2016","55 to 64","","572.86","827.06","69.26",
"Bent County","11","2016","65 and over","","187.29","925.07","20.25",
"Bent County","11","2017","16 to 19","","89.6","231.56","38.69",
"Bent County","11","2017","20 to 24","","188.12","251.94","74.67",
"Bent County","11","2017","25 to 34","","427.57","527.3","81.09",
"Bent County","11","2017","35 to 44","","462.56","518.05","89.29",
"Bent County","11","2017","45 to 54","","530.15","651.11","81.42",
"Bent County","11","2017","55 to 64","","585.35","840.99","69.60",
"Bent County","11","2017","65 and over","","194.38","944.68","20.58",
"Bent County","11","2018","16 to 19","","85.51","227.08","37.66",
"Bent County","11","2018","20 to 24","","184.94","249.14","74.23",
"Bent County","11","2018","25 to 34","","429.95","530.8","81.00",
"Bent County","11","2018","35 to 44","","483.89","539.99","89.61",
"Bent County","11","2018","45 to 54","","495.91","611.54","81.09",
"Bent County","11","2018","55 to 64","","590.46","844.76","69.90",
"Bent County","11","2018","65 and over","","202.35","967.3","20.92",
"Boulder County","13","2010","16 to 19","","8,713.33","18,592","46.87",
"Boulder County","13","2010","20 to 24","","24,784.54","30,047","82.49",
"Boulder County","13","2010","25 to 34","","35,122.46","39,406","89.13",
"Boulder County","13","2010","35 to 44","","36,043.86","40,857","88.22",
"Boulder County","13","2010","45 to 54","","38,769.43","44,477","87.17",
"Boulder County","13","2010","55 to 64","","26,376.22","36,008","73.25",
"Boulder County","13","2010","65 and over","","5,610.09","28,847.53","19.45",
"Boulder County","13","2011","16 to 19","","8,747.77","19,213.89","45.53",
"Boulder County","13","2011","20 to 24","","24,195.52","29,634.94","81.65",
"Boulder County","13","2011","25 to 34","","35,973.32","40,463.94","88.90",
"Boulder County","13","2011","35 to 44","","36,235.65","41,119.85","88.12",
"Boulder County","13","2011","45 to 54","","38,534.9","44,176.64","87.23",
"Boulder County","13","2011","55 to 64","","27,795.61","37,755.12","73.62",
"Boulder County","13","2011","65 and over","","6,065","30,258.88","20.04",
"Boulder County","13","2012","16 to 19","","9,466.63","21,423.32","44.19",
"Boulder County","13","2012","20 to 24","","22,063.97","27,168.61","81.21",
"Boulder County","13","2012","25 to 34","","36,974.04","41,606.42","88.87",
"Boulder County","13","2012","35 to 44","","36,281.46","41,198.23","88.07",
"Boulder County","13","2012","45 to 54","","38,204.57","43,845.04","87.14",
"Boulder County","13","2012","55 to 64","","28,793.89","38,792.35","74.23",
"Boulder County","13","2012","65 and over","","6,732.98","32,284.38","20.86",
"Boulder County","13","2013","16 to 19","","9,317.25","21,642.92","43.05",
"Boulder County","13","2013","20 to 24","","21,493.62","26,623.17","80.73",
"Boulder County","13","2013","25 to 34","","38,043.13","42,879.36","88.72",
"Boulder County","13","2013","35 to 44","","36,248.71","41,186.11","88.01",
"Boulder County","13","2013","45 to 54","","37,951.76","43,599.59","87.05",
"Boulder County","13","2013","55 to 64","","29,767.84","39,835.99","74.73",
"Boulder County","13","2013","65 and over","","7,398.08","34,240.36","21.61",
"Boulder County","13","2014","16 to 19","","9,191.18","21,930.16","41.91",
"Boulder County","13","2014","20 to 24","","21,676.73","27,045.62","80.15",
"Boulder County","13","2014","25 to 34","","38,227.02","43,194.7","88.50",
"Boulder County","13","2014","35 to 44","","35,998.99","40,947.43","87.92",
"Boulder County","13","2014","45 to 54","","37,923.07","43,594.23","86.99",
"Boulder County","13","2014","55 to 64","","30,785.27","40,949.39","75.18",
"Boulder County","13","2014","65 and over","","8,054.24","36,208.63","22.24",
"Boulder County","13","2015","16 to 19","","9,030.53","22,220.8","40.64",
"Boulder County","13","2015","20 to 24","","21,676.01","27,301.02","79.40",
"Boulder County","13","2015","25 to 34","","38,274.23","43,329.92","88.33",
"Boulder County","13","2015","35 to 44","","35,803.73","40,750.17","87.86",
"Boulder County","13","2015","45 to 54","","37,952.73","43,645.38","86.96",
"Boulder County","13","2015","55 to 64","","31,753.67","41,958.71","75.68",
"Boulder County","13","2015","65 and over","","8,807.13","38,407.52","22.93",
"Boulder County","13","2016","16 to 19","","8,869.13","22,491.03","39.43",
"Boulder County","13","2016","20 to 24","","22,045.99","28,007.67","78.71",
"Boulder County","13","2016","25 to 34","","38,265.24","43,408.08","88.15",
"Boulder County","13","2016","35 to 44","","35,777.4","40,743.76","87.81",
"Boulder County","13","2016","45 to 54","","37,962.5","43,643.74","86.98",
"Boulder County","13","2016","55 to 64","","32,490.03","42,742.67","76.01",
"Boulder County","13","2016","65 and over","","9,550.03","40,542.36","23.56",
"Boulder County","13","2017","16 to 19","","8,675.54","22,734.46","38.16",
"Boulder County","13","2017","20 to 24","","23,609.39","30,246.26","78.06",
"Boulder County","13","2017","25 to 34","","36,780.84","41,817.76","87.96",
"Boulder County","13","2017","35 to 44","","35,916.98","40,948.53","87.71",
"Boulder County","13","2017","45 to 54","","37,783.95","43,462.57","86.93",
"Boulder County","13","2017","55 to 64","","33,009.19","43,200.13","76.41",
"Boulder County","13","2017","65 and over","","10,279.44","42,902.23","23.96",
"Boulder County","13","2018","16 to 19","","8,534.92","22,966.01","37.16",
"Boulder County","13","2018","20 to 24","","23,703.94","30,622.78","77.41",
"Boulder County","13","2018","25 to 34","","37,163.03","42,314.01","87.83",
"Boulder County","13","2018","35 to 44","","36,178.56","41,253.27","87.70",
"Boulder County","13","2018","45 to 54","","37,464.77","43,116.63","86.89",
"Boulder County","13","2018","55 to 64","","33,458.79","43,595.23","76.75",
"Boulder County","13","2018","65 and over","","11,022.73","45,255.58","24.36",
"Broomfield County","14","2010","16 to 19","","1,271.02","2,789","45.57",
"Broomfield County","14","2010","20 to 24","","2,473.28","3,086","80.15",
"Broomfield County","14","2010","25 to 34","","6,718.97","7,765","86.53",
"Broomfield County","14","2010","35 to 44","","7,715.11","8,994","85.78",
"Broomfield County","14","2010","45 to 54","","7,341.07","8,656","84.81",
"Broomfield County","14","2010","55 to 64","","4,359.5","6,130","71.12",
"Broomfield County","14","2010","65 and over","","1,008","5,374.54","18.76",
"Broomfield County","14","2011","16 to 19","","1,353.85","3,058.07","44.27",
"Broomfield County","14","2011","20 to 24","","2,404.98","3,030.83","79.35",
"Broomfield County","14","2011","25 to 34","","6,741.56","7,809.75","86.32",
"Broomfield County","14","2011","35 to 44","","7,861.17","9,176.46","85.67",
"Broomfield County","14","2011","45 to 54","","7,407.78","8,729.44","84.86",
"Broomfield County","14","2011","55 to 64","","4,633.89","6,481.3","71.50",
"Broomfield County","14","2011","65 and over","","1,084.51","5,612.65","19.32",
"Broomfield County","14","2012","16 to 19","","1,379.37","3,210.76","42.96",
"Broomfield County","14","2012","20 to 24","","2,522.46","3,195.84","78.93",
"Broomfield County","14","2012","25 to 34","","6,874.48","7,969.5","86.26",
"Broomfield County","14","2012","35 to 44","","8,026.05","9,376.06","85.60",
"Broomfield County","14","2012","45 to 54","","7,510.95","8,864.3","84.73",
"Broomfield County","14","2012","55 to 64","","4,845.42","6,716.77","72.14",
"Broomfield County","14","2012","65 and over","","1,207.85","6,005.12","20.11",
"Broomfield County","14","2013","16 to 19","","1,379.87","3,297.32","41.85",
"Broomfield County","14","2013","20 to 24","","2,761.62","3,519.73","78.46",
"Broomfield County","14","2013","25 to 34","","6,964.16","8,087.52","86.11",
"Broomfield County","14","2013","35 to 44","","8,132.26","9,509.88","85.51",
"Broomfield County","14","2013","45 to 54","","7,630.61","9,014.64","84.65",
"Broomfield County","14","2013","55 to 64","","5,076.63","6,985.81","72.67",
"Broomfield County","14","2013","65 and over","","1,328","6,377.93","20.82",
"Broomfield County","14","2014","16 to 19","","1,388.26","3,407.9","40.74",
"Broomfield County","14","2014","20 to 24","","2,972.89","3,816.97","77.89",
"Broomfield County","14","2014","25 to 34","","7,054.9","8,210.08","85.93",
"Broomfield County","14","2014","35 to 44","","8,214.82","9,619.47","85.40",
"Broomfield County","14","2014","45 to 54","","7,781.48","9,199.11","84.59",
"Broomfield County","14","2014","55 to 64","","5,338.68","7,300.43","73.13",
"Broomfield County","14","2014","65 and over","","1,443.86","6,735.61","21.44",
"Broomfield County","14","2015","16 to 19","","1,387.52","3,512.49","39.50",
"Broomfield County","14","2015","20 to 24","","3,176.99","4,119.88","77.11",
"Broomfield County","14","2015","25 to 34","","7,127.67","8,309.07","85.78",
"Broomfield County","14","2015","35 to 44","","8,225.57","9,635.87","85.36",
"Broomfield County","14","2015","45 to 54","","8,013.24","9,477.06","84.55",
"Broomfield County","14","2015","55 to 64","","5,606.92","7,616.91","73.61",
"Broomfield County","14","2015","65 and over","","1,567.41","7,088.75","22.11",
"Broomfield County","14","2016","16 to 19","","1,399.15","3,648.38","38.35",
"Broomfield County","14","2016","20 to 24","","3,395.55","4,445.46","76.38",
"Broomfield County","14","2016","25 to 34","","7,260.42","8,479.53","85.62",
"Broomfield County","14","2016","35 to 44","","8,262.07","9,688.71","85.28",
"Broomfield County","14","2016","45 to 54","","8,211.7","9,706.43","84.60",
"Broomfield County","14","2016","55 to 64","","5,862.78","7,929.72","73.93",
"Broomfield County","14","2016","65 and over","","1,693.8","7,450.47","22.73",
"Broomfield County","14","2017","16 to 19","","1,411.02","3,800.83","37.12",
"Broomfield County","14","2017","20 to 24","","3,497.78","4,619.33","75.72",
"Broomfield County","14","2017","25 to 34","","7,483.2","8,761.52","85.41",
"Broomfield County","14","2017","35 to 44","","8,321.81","9,770.07","85.18",
"Broomfield County","14","2017","45 to 54","","8,342.44","9,865.13","84.56",
"Broomfield County","14","2017","55 to 64","","6,103.09","8,211.25","74.33",
"Broomfield County","14","2017","65 and over","","1,813.95","7,844.33","23.12",
"Broomfield County","14","2018","16 to 19","","1,427.14","3,945.94","36.17",
"Broomfield County","14","2018","20 to 24","","3,537.84","4,709.83","75.12",
"Broomfield County","14","2018","25 to 34","","7,685.66","9,013.26","85.27",
"Broomfield County","14","2018","35 to 44","","8,430.82","9,898.15","85.18",
"Broomfield County","14","2018","45 to 54","","8,435.84","9,983.2","84.50",
"Broomfield County","14","2018","55 to 64","","6,334.08","8,483.79","74.66",
"Broomfield County","14","2018","65 and over","","1,935.37","8,229.71","23.52",
"Chaffee County","15","2010","16 to 19","","307.4","677","45.41",
"Chaffee County","15","2010","20 to 24","","312.63","391","79.96",
"Chaffee County","15","2010","25 to 34","","1,472.18","1,685","87.37",
"Chaffee County","15","2010","35 to 44","","1,697.5","1,994","85.13",
"Chaffee County","15","2010","45 to 54","","2,239.91","2,791","80.25",
"Chaffee County","15","2010","55 to 64","","1,815.88","3,131","58.00",
"Chaffee County","15","2010","65 and over","","610.43","3,463.53","17.62",
"Chaffee County","15","2011","16 to 19","","322.73","724.92","44.52",
"Chaffee County","15","2011","20 to 24","","334.01","420.36","79.46",
"Chaffee County","15","2011","25 to 34","","1,451.98","1,672.86","86.80",
"Chaffee County","15","2011","35 to 44","","1,665.19","1,957.66","85.06",
"Chaffee County","15","2011","45 to 54","","2,159.02","2,685.42","80.40",
"Chaffee County","15","2011","55 to 64","","1,850.83","3,174.33","58.31",
"Chaffee County","15","2011","65 and over","","653.7","3,606.26","18.13",
"Chaffee County","15","2012","16 to 19","","322.22","745.89","43.20",
"Chaffee County","15","2012","20 to 24","","404.42","508.84","79.48",
"Chaffee County","15","2012","25 to 34","","1,479.46","1,709.76","86.53",
"Chaffee County","15","2012","35 to 44","","1,683.87","1,981.59","84.98",
"Chaffee County","15","2012","45 to 54","","2,112.38","2,628.6","80.36",
