"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"9","2016","Baca County","3557","38","62","-13","-24","0","82","3,475","1,579","2.2","2,252","29.88","673",
"11","2016","Bent County","5626","34","61","-22","-27","2","1,735","3,891","1,661","2.34","2,251","26.21","590",
"13","2016","Boulder County","321989","2841","1803","2,453","1,038","1,436","11,053","310,936","129,842","2.39","133,692","2.88","3,850",
"14","2016","Broomfield County","66252","734","375","1,237","359","447","282","65,970","25,405","2.6","26,324","3.49","919",
"15","2016","Chaffee County","19097","134","180","482","-46","121","1,501","17,596","8,170","2.15","10,664","23.39","2,494",
"17","2016","Cheyenne County","1853","26","20","17","6","6","42","1,811","792","2.29","997","20.56","205",
"19","2016","Clear Creek County","9443","74","59","34","15","18","99","9,344","4,367","2.14","5,740","23.92","1,373",
"21","2016","Conejos County","8039","96","88","-43","8","21","36","8,003","3,034","2.64","4,388","30.86","1,354",
"23","2016","Costilla County","3707","30","46","151","-16","35","0","3,707","1,631","2.27","2,777","41.27","1,146",
"25","2016","Crowley County","5214","27","54","44","-27","5","2,208","3,006","1,250","2.4","1,580","20.89","330",
"27","2016","Custer County","4617","18","52","194","-34","43","150","4,467","2,093","2.13","4,283","51.13","2,190",
"29","2016","Delta County","30471","281","355","556","-74","7","708","29,763","12,517","2.38","14,679","14.73","2,162",
"31","2016","Denver County","693292","9420","4404","7,717","5,016","7,901","16,418","676,874","304,857","2.22","314,631","3.11","9,774",
"33","2016","Dolores County","2035","15","13","61","2","0","0","2,035","886","2.3","1,476","39.97","590",
"35","2016","Douglas County","328330","3494","1325","3,963","2,169","2,890","871","327,459","117,339","2.79","117,683","0.29","344",
"37","2016","Eagle County","53928","664","119","63","545","183","70","53,858","19,853","2.71","32,043","38.04","12,190",
"43","2016","Fremont County","47487","379","537","857","-158","54","8,306","39,181","17,041","2.3","19,625","13.17","2,584",
"45","2016","Garfield County","58984","839","332","689","507","138","884","58,100","21,310","2.73","23,772","10.36","2,462",
"47","2016","Gilpin County","5926","42","30","90","12","16","49","5,877","2,682","2.19","3,640","26.32","958",
"49","2016","Grand County","15039","127","63","373","64","128","222","14,817","6,552","2.26","16,670","60.7","10,118",
"51","2016","Gunnison County","16394","158","77","186","81","98","1,019","15,375","6,920","2.22","11,819","41.45","4,899",
"67","2015","La Plata County","54857","579","346","599","233","278","2,028","52,829","22,107","2.35","27,048","16.95","4,584",
"65","2015","Lake County","7502","86","42","72","44","0","165","7,337","3,016","2.43","4,328","16.95","1,312",
"39","2016","Elbert County","25169","201","124","452","77","149","73","25,096","9,136","2.75","9,389","2.69","253",
"5","2016","Arapahoe County","637254","8096","3908","4,053","4,188","2,709","4,255","632,999","248,211","2.55","248,692","0.19","481",
"53","2016","Hinsdale County","775","2","5","11","-3","6","56","719","330","2.18","1,421","76.78","1,091",
"55","2016","Huerfano County","6642","44","108","250","-64","32","165","6,477","3,103","2.09","5,227","40.64","2,124",
"57","2016","Jackson County","1351","12","12","-2","0","4","2","1,349","629","2.14","1,307","51.87","678",
"59","2016","Jefferson County","571711","5904","4292","5,364","1,612","1,914","8,048","563,663","233,361","2.42","238,917","2.33","5,556",
"61","2016","Kiowa County","1347","20","20","-49","0","0","14","1,333","596","2.24","819","27.23","223",
"63","2016","Kit Carson County","7639","94","79","-76","15","0","490","7,149","3,021","2.37","3,555","15.02","534",
"69","2016","Larimer County","338663","3464","2165","4,584","1,299","2,526","9,323","329,340","135,762","2.43","144,976","6.36","9,214",
"71","2016","Las Animas County","14082","130","184","76","-54","3","883","13,199","5,752","2.29","8,405","31.56","2,653",
"73","2016","Lincoln County","5554","52","58","74","-6","15","957","4,597","2,018","2.28","2,459","17.93","441",
"75","2016","Logan County","22047","223","255","-52","-32","27","3,447","18,600","7,955","2.34","9,070","12.29","1,115",
"77","2016","Mesa County","150731","1709","1462","1,229","247","486","5,332","145,399","59,207","2.46","65,601","9.75","6,394",
"79","2016","Mineral County","737","8","5","5","3","12","0","737","368","2","1,234","70.18","866",
"81","2016","Moffat County","13088","181","90","113","91","7","102","12,986","5,182","2.51","6,255","17.15","1,073",
"83","2016","Montezuma County","26906","297","257","737","40","23","237","26,669","11,115","2.4","12,225","9.08","1,110",
"85","2016","Montrose County","41421","423","429","632","-6","124","542","40,879","16,544","2.47","18,745","11.74","2,201",
"87","2016","Morgan County","28148","428","281","-229","147","78","564","27,584","10,291","2.68","11,645","11.63","1,354",
"89","2016","Otero County","18290","228","250","47","-22","4","433","17,857","7,500","2.38","8,986","16.54","1,486",
"91","2016","Ouray County","4844","34","32","195","2","35","0","4,844","2,208","2.19","3,215","31.32","1,007",
"93","2016","Park County","17285","118","97","548","21","123","92","17,193","7,655","2.25","14,432","46.96","6,777",
"95","2016","Phillips County","4285","68","45","-45","23","9","60","4,225","1,755","2.41","2,127","17.49","372",
"97","2016","Pitkin County","17773","146","64","-154","82","108","72","17,701","8,468","2.09","13,670","38.05","5,202",
"99","2016","Prowers County","11841","185","149","-100","36","6","315","11,526","4,648","2.48","5,945","21.82","1,297",
"101","2016","Pueblo County","165109","1850","1706","1,770","144","282","4,406","160,703","65,397","2.46","70,701","7.5","5,304",
"103","2016","Rio Blanco County","6497","75","61","-46","14","11","259","6,238","2,568","2.43","3,414","24.78","846",
"105","2016","Rio Grande County","11424","137","126","0","11","14","198","11,226","4,552","2.47","6,712","32.18","2,160",
"107","2016","Routt County","24679","246","104","217","142","102","343","24,336","10,388","2.34","16,689","37.76","6,301",
"109","2016","Saguache County","6404","77","48","156","29","29","18","6,386","2,774","2.3","4,036","31.27","1,262",
"111","2016","San Juan County","698","5","3","0","2","6","0","698","343","2.03","771","55.51","428",
"113","2016","San Miguel County","8000","68","27","116","41","32","9","7,991","3,751","2.13","6,826","45.05","3,075",
"115","2016","Sedgwick County","2421","29","35","38","-6","0","35","2,386","1,113","2.14","1,420","21.62","307",
"117","2016","Summit County","30367","295","64","208","231","195","273","30,094","12,753","2.36","30,608","58.33","17,855",
"119","2016","Teller County","24154","191","171","703","20","85","132","24,022","10,121","2.37","13,088","22.67","2,967",
"121","2016","Washington County","4875","57","66","50","-9","5","184","4,691","2,006","2.34","2,455","18.29","449",
"123","2016","Weld County","294397","4254","1734","7,306","2,520","2,911","5,031","289,366","104,485","2.77","105,720","1.17","1,235",
"125","2016","Yuma County","10082","145","100","-20","45","1","234","9,848","3,951","2.49","4,500","12.2","549",
"67","2016","La Plata County","55697","571","337","657","234","336","1,977","53,720","22,851","2.35","27,404","29.72","4,553",
"1","2016","Adams County","497673","7168","2925","3,452","4,243","2,155","4,184","493,489","169,553","2.9","170,132","0.34","579",
"41","2011","El Paso County","638289","9231","3650","4,642","5,581","2,321","19,975","618,314","241,890","2.56","253,871","4.72","11,981",
"41","2012","El Paso County","647446","9156","3781","3,760","5,375","2,706","19,997","627,449","245,442","2.56","256,167","4.19","10,725",
"41","2013","El Paso County","656981","9086","3940","4,040","5,146","4,901","20,346","636,635","248,935","2.56","258,857","3.83","9,922",
"41","2015","El Paso County","676178","9435","4149","5,720","5,286","3,106","20,560","655,618","256,339","2.56","264,673","3.15","8,334",
"41","2016","El Paso County","690207","9472","4296","8,732","5,176","3,580","20,681","669,526","261,764","2.56","267,737","2.23","5,973",
"65","2016","Lake County","7595","64","44","82","20","39","156","7,439","3,057","2.43","4,350","16.61","1,293",
