"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"81","2008","Moffat County","13446","224","88","40","136","63","311","13,135","5,212","2.52","6,160","15.39","948",
"81","2009","Moffat County","13544","224","80","-46","144","39","311","13,233","5,269","2.51","6,181","14.755","912",
"83","2008","Montezuma County","25200","324","259","-42","65","42","438","24,762","10,214","2.42","11,861","13.886","1,647",
"83","2009","Montezuma County","25365","320","256","101","64","19","438","24,927","10,343","2.41","11,994","13.765","1,651",
"85","2008","Montrose County","39952","563","404","662","159","369","550","39,402","15,908","2.48","17,877","11.014","1,969",
"85","2009","Montrose County","40680","554","368","542","186","189","550","40,130","16,222","2.47","18,083","10.291","1,861",
"87","2008","Morgan County","27746","421","278","-245","143","52","705","27,041","10,011","2.7","11,430","12.415","1,419",
"87","2009","Morgan County","28026","444","192","28","252","27","746","27,280","10,144","2.69","11,463","11.507","1,319",
"89","2008","Otero County","18853","280","265","-99","15","37","568","18,285","7,619","2.4","8,971","15.071","1,352",
"89","2009","Otero County","18844","230","229","-10","1","6","568","18,276","7,650","2.39","8,973","14.744","1,323",
"91","2008","Ouray County","4407","42","21","112","21","61","18","4,389","1,973","2.22","3,036","35.013","1,063",
"91","2009","Ouray County","4372","26","21","-40","5","35","18","4,354","1,973","2.21","3,066","35.649","1,093",
"93","2008","Park County","16278","135","71","-122","64","227","70","16,208","7,104","2.28","13,684","48.085","6,580",
"93","2009","Park County","15971","149","64","-392","85","154","70","15,901","7,033","2.26","13,833","49.158","6,800",
"95","2008","Phillips County","4451","53","58","-28","-5","6","89","4,362","1,802","2.42","2,077","13.24","275",
"95","2009","Phillips County","4454","47","44","0","3","3","89","4,365","1,808","2.41","2,083","13.202","275",
"97","2008","Pitkin County","16673","162","43","318","119","168","328","16,345","7,703","2.12","12,920","40.379","5,217",
"97","2009","Pitkin County","17053","171","44","253","127","115","328","16,725","7,889","2.12","12,979","39.217","5,090",
"99","2008","Prowers County","12682","190","128","-152","62","10","300","12,382","4,926","2.51","5,951","17.224","1,025",
"99","2009","Prowers County","12576","191","146","-151","45","0","300","12,276","4,924","2.49","5,948","17.216","1,024",
"101","2008","Pueblo County","156252","2167","1608","934","559","642","4,111","152,141","61,613","2.47","68,803","10.45","7,190",
"101","2009","Pueblo County","157324","2038","1558","592","480","399","4,142","153,182","62,213","2.46","69,140","10.019","6,927",
"103","2008","Rio Blanco County","6160","109","43","1","66","74","232","5,928","2,428","2.44","3,253","25.361","825",
"103","2009","Rio Blanco County","6317","90","40","107","50","62","232","6,085","2,500","2.43","3,292","24.058","792",
"105","2008","Rio Grande County","12105","157","122","-97","35","47","251","11,854","4,765","2.49","6,614","27.956","1,849",
"105","2009","Rio Grande County","11995","159","125","-144","34","42","251","11,744","4,742","2.48","6,635","28.531","1,893",
"107","2008","Routt County","22931","267","95","344","172","568","337","22,594","9,484","2.38","15,517","38.88","6,033",
"107","2009","Routt County","23325","260","88","222","172","376","337","22,988","9,673","2.38","16,143","40.079","6,470",
"109","2008","Saguache County","6176","59","48","6","11","62","36","6,140","2,599","2.36","3,791","31.443","1,192",
"109","2009","Saguache County","6126","73","47","-76","26","42","36","6,090","2,600","2.34","3,820","31.937","1,220",
"111","2008","San Juan County","698","5","2","9","3","4","5","693","341","2.03","746","54.29","405",
"111","2009","San Juan County","687","3","3","-11","0","7","5","682","335","2.04","752","55.452","417",
"113","2008","San Miguel County","7304","118","11","-79","107","148","17","7,287","3,416","2.13","6,521","47.615","3,105",
"113","2009","San Miguel County","7267","79","13","-103","66","120","17","7,250","3,399","2.13","6,583","48.367","3,184",
"115","2008","Sedgwick County","2420","27","33","4","-6","1","57","2,363","1,092","2.16","1,408","22.443","316",
